Name,Type,TermStart,TermEnd,State,Constituency,Party,Gender,Education,EducationDetails,Age,Debates,PrivateMemberBills,Questions,Attendance,Notes,NationalDebatesAverage,NationalPrivateMemberBillsAverage,NationalQuestionsAverage,NationalAttendanceAverage,StateDebatesAverage,StatePrivateMemberBillsAverage,StateQuestionsAverage,StateAttendanceAverage
C. Gopalakrishnan,Elected,18-May-14,In office,Tamil Nadu,Nilgiris,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,52,3,0,22,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
C. L. Ruala,Elected,18-May-14,In office,Mizoram,Mizoram,Indian National Congress,Male,Post Graduate,"B.A., B.T.; Educated at St. Edmund`s college Shillong, Gauhati University",78,1,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,1,0,0,95%
C. Mahendran,Elected,18-May-14,In office,Tamil Nadu,Pollachi,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,42,6,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
C. R. Patil,Elected,18-May-14,In office,Gujarat,Navsari,Bharatiya Janata Party,Male,Certificate Course,"I.T.I; Educated at Industrial Training Institute, Surat",59,2,0,19,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
C.N. Jayadevan,Elected,18-May-14,In office,Kerala,Thrissur,Communist Party of India,Male,Post Graduate,Information not available,63,5,0,43,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
C.R. Choudhary,Elected,18-May-14,In office,Rajasthan,Nagaur,Bharatiya Janata Party,Male,Post Graduate,Information not available,66,10,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
C.S. Puttaraju,Elected,18-May-14,In office,Karnataka,Mandya,Janata Dal (Secular),Male,Inter/ Higher Secondary,Information not available,50,1,0,59,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Chand Nath,Elected,18-May-14,In office,Rajasthan,Alwar,Bharatiya Janata Party,Male,Graduate,Information not available,58,5,0,15,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Chandra Prakash Joshi,Elected,18-May-14,In office,Rajasthan,Chittorgarh,Bharatiya Janata Party,Male,Graduate,Information not available,38,4,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Chandrakant Bhaurao Khaire,Elected,18-May-14,In office,Maharashtra,Aurangabad,Shiv Sena,Male,Graduate,"B.Sc. (1st Year), Diploma in Personnel Management; Educated at Marathawada University, Aurangabad, Maharashtra",62,4,0,58,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Chandu Barne Shrirang,Elected,18-May-14,In office,Maharashtra,Maval,Shiv Sena,Male,Under Matric,Information not available,50,4,0,83,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Chandu Lal Sahu,Elected,18-May-14,In office,Chhattisgarh,Mahasamund,Bharatiya Janata Party,Male,Graduate,"B.Com., LL.B.; Educated at Rajiv Lochan College, Rajim and; Durga College, Raipur",55,2,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,8,91%
Charanjeet Singh Rori,Elected,18-May-14,In office,Haryana,Sirsa,Indian National Lok Dal,Male,Under Matric,Information not available,43,1,0,4,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,19,85%
Chauhan Devusinh Jesingbhai,Elected,18-May-14,In office,Gujarat,Kheda,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,49,3,0,6,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Chavda Vinod Lakhamashi,Elected,18-May-14,In office,Gujarat,Kachchh,Bharatiya Janata Party,Male,Graduate,Information not available,35,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Chhedi Paswan,Elected,18-May-14,In office,Bihar,Sasaram,Bharatiya Janata Party,Male,Post Graduate,Information not available,58,8,0,5,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Chhotelal,Elected,18-May-14,In office,Uttar Pradesh,Robertsganj,Bharatiya Janata Party,Male,Under Matric,Information not available,41,6,0,10,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Chintaman Navasha Wanga,Elected,18-May-14,In office,Maharashtra,Palghar,Bharatiya Janata Party,Male,Graduate,Information not available,63,2,0,18,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Chintamani Malviya,Elected,18-May-14,In office,Madhya Pradesh,Ujjain,Bharatiya Janata Party,Male,Doctorate,Information not available,44,1,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Chirag Kumar Paswan,Elected,18-May-14,In office,Bihar,Jamui,Lok Jan Shakti Party,Male,Inter/ Higher Secondary,Information not available,32,2,0,2,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Choudhury Mohan Jatua,Elected,18-May-14,In office,West Bengal,Mathurapur,All India Trinamool Congress,Male,Post Graduate,M.Com.; Educated at Kolkata University,76,0,0,0,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Chudasama Rajeshbhai Naranbhai,Elected,18-May-14,In office,Gujarat,Junagadh,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,31,0,0,0,50, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
D.K. Suresh,Elected,18-May-14,In office,Karnataka,Bangalore Rural,Indian National Congress,Male,Inter/ Higher Secondary,Information not available,48,4,0,50,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
D.V. Sadananda Gowda,Elected,18-May-14,In office,Karnataka,Bangalore North,Bharatiya Janata Party,Male,Graduate,"B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",61,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Daddan Mishra,Elected,18-May-14,In office,Uttar Pradesh,Shrawasti,Bharatiya Janata Party,Male,Post Graduate,Information not available,47,9,0,1,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Dalpat Singh Paraste,Elected,18-May-14,In office,Madhya Pradesh,Shahdol,Bharatiya Janata Party,Male,Graduate,Information not available,61,0,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Darshana Vikram Jardosh,Elected,18-May-14,In office,Gujarat,Surat,Bharatiya Janata Party,Female,Graduate,"B.Com.; Educated at K.P. College of Commerce, Surat, Certificate Course in Computer from NIIT",53,10,0,38,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Dasrath Tirkey,Elected,18-May-14,In office,West Bengal,Alipurduars,All India Trinamool Congress,Male,Graduate,Information not available,47,0,0,0,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Deepender Singh Hooda,Elected,18-May-14,In office,Haryana,Rohtak,Indian National Congress,Male,Post Graduate,"B.Tech., M.B.A.; Educated at University at Birla Institute, M.D. University, Rohtak (Haryana) and Kelley School of Business, Indiana University, Bloomington, USA",36,3,0,0,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,19,85%
Devendra Singh @ Bhole Singh,Elected,18-May-14,In office,Uttar Pradesh,Akbarpur,Bharatiya Janata Party,Male,Under Matric,Information not available,60,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Devji Patel,Elected,18-May-14,In office,Rajasthan,Jalore,Bharatiya Janata Party,Male,Matric,,37,19,0,50,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Dhananjay Bhimrao Mahadik,Elected,18-May-14,In office,Maharashtra,Kolhapur,Nationalist Congress Party,Male,Graduate,Information not available,42,3,0,74,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Dharam Vira Gandhi,Elected,18-May-14,In office,Punjab,Patiala,Aam Aadmi Party,Male,Graduate,Information not available,63,9,0,0,73, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Dharambir,Elected,18-May-14,In office,Haryana,Bhiwani-Mahendragarh,Bharatiya Janata Party,Male,Graduate,Information not available,59,0,0,24,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,19,85%
Dharmendra Kumar,Elected,18-May-14,In office,Uttar Pradesh,Aonla,Bharatiya Janata Party,Male,Under Matric,Information not available,49,2,0,0,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Dharmendra Yadav,Elected,18-May-14,In office,Uttar Pradesh,Badaun,Samajwadi Party,Male,Post Graduate,"M.A., L.L.B.; Educated at Allahabad University, Allahabad, Uttar Pradesh",35,12,0,35,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Dhruva Narayana Rangaswamy,Elected,18-May-14,In office,Karnataka,Chamrajanagar,Indian National Congress,Male,Post Graduate,"M.Sc. (Agriculture); Educated at University of Agricultural Sciences, Bangalore",53,10,0,85,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Dileepsingh Bhuria,Elected,18-May-14,In office,Madhya Pradesh,Ratlam,Bharatiya Janata Party,Male,Under Matric,Information not available,68,0,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Dilip Kumar Mansukhlal Gandhi,Elected,18-May-14,In office,Maharashtra,Ahmednagar,Bharatiya Janata Party,Male,Matric,"S.S.C.; Educated at Pune University, Pune (Maharashtra)",63,10,0,48,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Dilip Patel,Elected,18-May-14,In office,Gujarat,Anand,Bharatiya Janata Party,Male,Under Matric,Information not available,59,0,0,1,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Dimple Yadav,Elected,18-May-14,In office,Uttar Pradesh,Kannauj,Samajwadi Party,Female,Graduate,Graduation in humanities from Lucknow University,36,1,0,0,27, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Dinesh Kashyap,Elected,18-May-14,In office,Chhattisgarh,Bastar,Bharatiya Janata Party,Male,Others,,51,1,0,0,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,8,91%
Dinesh Trivedi,Elected,18-May-14,In office,West Bengal,Barrackpur,All India Trinamool Congress,Male,Post Graduate,M.B.A.,64,2,0,3,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Dr Bhola Singh,Elected,18-May-14,In office,Bihar,Begusarai,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Patna University and Lalit Narayan Mithila University, Darbhanga, Bihar",79,4,0,24,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Dushyant Chautala,Elected,18-May-14,In office,Haryana,Hisar,Indian National Lok Dal,Male,Graduate,Information not available,26,6,0,80,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,19,85%
Dushyant Singh,Elected,18-May-14,In office,Rajasthan,Jhalawar-Baran,Bharatiya Janata Party,Male,Post Graduate,"B.A. , M.B.A. (Hotel Administration) and P.G. Diploma in Hotel Operations; Educated at Doon School, Dehradun,; St. Stephen`s College, Delhi, Johnson and Wales University, Providence, RI, USA and IHTTI School of Mangaement, Neuchatel, Switzerland, ",40,0,0,0,50, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
E. Ahamed,Elected,18-May-14,In office,Kerala,Malappuram,Indian Union Muslim League,Male,Graduate,"B.A., B.L.; Educated at Government Brennen College, Tellicherry and Government Law College, Thiruvananthapuram (Kerala) ",76,4,0,0,55, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
E. T. Mohammed Basheer,Elected,18-May-14,In office,Kerala,Ponnani,Muslim League Kerala State Committee,Male,Inter/ Higher Secondary,,68,7,0,10,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
Faggan Singh Kulaste,Elected,18-May-14,In office,Madhya Pradesh,Mandla,Bharatiya Janata Party,Male,Post Graduate,Information not available,54,1,0,11,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Fatepara Devajibhai Govindbhai,Elected,18-May-14,In office,Gujarat,Surendranagar,Bharatiya Janata Party,Male,Under Matric,Information not available,55,0,0,19,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Feroze Varun Gandhi,Elected,18-May-14,In office,Uttar Pradesh,Sultanpur,Bharatiya Janata Party,Male,Graduate,"B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.",34,0,0,46,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
G. Hari,Elected,18-May-14,In office,Tamil Nadu,Arakkonam,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,Information not available,53,4,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
Gajanan Chandrakant Kirtikar,Elected,18-May-14,In office,Maharashtra,Mumbai-North-West,Shiv Sena,Male,Graduate,Information not available,70,3,0,0,64, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Gajendrasingh Shekhawat,Elected,18-May-14,In office,Rajasthan,Jodhpur,Bharatiya Janata Party,Male,Post Graduate,Information not available,46,11,0,17,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Ganesh Singh,Elected,18-May-14,In office,Madhya Pradesh,Satna,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.; Educated at Awadesh Pratap Singh University,; Rewa and Law College, Satna, Madhya Pradesh",52,16,0,37,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Giriraj Singh,Elected,18-May-14,In office,Bihar,Nawada,Bharatiya Janata Party,Male,Graduate,Information not available,61,0,0,5,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Godam Nagesh,Elected,18-May-14,In office,Telangana,Adilabad,Telangana Rashtra Samithi,Male,Post Graduate,Information not available,49,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Godse Hemant Tukaram,Elected,18-May-14,In office,Maharashtra,Nashik,Shiv Sena,Male,Inter/ Higher Secondary,Information not available,43,2,0,26,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Gokaraju Ganga Raju,Elected,18-May-14,In office,Andhra Pradesh,Narsapuram,Bharatiya Janata Party,Male,Graduate,Information not available,69,0,0,4,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Gopal Chinayya Shetty,Elected,18-May-14,In office,Maharashtra,Mumbai-North,Bharatiya Janata Party,Male,Under Matric,Information not available,60,1,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Gourav Gogoi,Elected,18-May-14,In office,Assam,Kaliabor,Indian National Congress,Male,Post Graduate,Information not available,31,6,0,5,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.6,0,10,85%
Gowdar Mallikarjunappa Siddeswara,Elected,18-May-14,In office,Karnataka,Davanagere,Bharatiya Janata Party,Male,Matric,"Educated at Bheemeshwara Rural Educational Society, Bheemasamudra (Karnataka) ",62,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
H.D. Devegowda,Elected,18-May-14,In office,Karnataka,Hassan,Janata Dal (Secular),Male,Diploma Course,"D.C.E.; Educated at Government High School, Holenarsipura and Smt.L.V. Polytechnic, Hassan, Karnataka",81,5,0,0,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.2,0,32,87%
Hansraj Gangaram Ahir,Elected,18-May-14,In office,Maharashtra,Chandrapur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"S.S.C.; Educated at L.T.Y. School, Chandrapur, Maharashtra",59,9,4,96,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Hari Manjhi,Elected,18-May-14,In office,Bihar,Gaya,Bharatiya Janata Party,Male,Under Matric,,51,0,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Hari Om Pandey,Elected,18-May-14,In office,Uttar Pradesh,Ambedkar Nagar,Bharatiya Janata Party,Male,Post Graduate,Information not available,58,1,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Haribansh Singh,Elected,18-May-14,In office,Uttar Pradesh,Pratapgarh,Apna Dal,Male,Graduate,Information not available,64,1,0,13,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Haribhai Parthibhai Chaudhary,Elected,18-May-14,In office,Gujarat,Banaskantha,Bharatiya Janata Party,Male,Post Graduate,"Educated at Mumbai University, Mumbai (Maharashtra)",60,6,0,9,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Harinarayan Rajbhar,Elected,18-May-14,In office,Uttar Pradesh,Ghosi,Bharatiya Janata Party,Male,Under Matric,Information not available,73,8,0,5,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Harinder Singh Khalsa,Elected,18-May-14,In office,Punjab,Fatehgarh Sahib,Aam Aadmi Party,Male,Post Graduate,Information not available,67,0,0,7,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Hariom Singh Rathore,Elected,18-May-14,In office,Rajasthan,Rajsamand,Bharatiya Janata Party,Male,Graduate,Information not available,56,0,0,0,86, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Harish Chandra Alias Harish Dwivedi,Elected,18-May-14,In office,Uttar Pradesh,Basti,Bharatiya Janata Party,Male,Post Graduate,Information not available,40,1,0,3,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Harish Chandra Meena,Elected,18-May-14,In office,Rajasthan,Dausa,Bharatiya Janata Party,Male,Graduate,Information not available,59,2,0,1,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,6.5,0.2,16,91%
Harishchandra Deoram Chavan,Elected,18-May-14,In office,Maharashtra,Dindori,Bharatiya Janata Party,Male,Graduate,"B.A. (With English Special); Educated at K.G. Joshi College, Thane (Maharashtra) ",62,5,0,70,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Harsh Vardhan,Elected,18-May-14,In office,Delhi,Chandni Chowk,Indian National Congress,Male,Graduate,"B.A.; Educated at Lucknow University , Uttar Pradesh",66,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Harsimrat Kaur Badal,Elected,18-May-14,In office,Punjab,Bathinda,Shiromani Akali Dal,Female,Graduate,Degree in Dress designing,48,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Heena Vaijaykumar Gavit,Elected,18-May-14,In office,Maharashtra,Nandurbar,Bharatiya Janata Party,Female,Graduate,Information not available,26,4,0,8,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Hema Malini,Elected,18-May-14,In office,Uttar Pradesh,Mathura,Bharatiya Janata Party,Female,Matric,"Matric Educated at Andhra Mahila Sabha, Chennai",65,0,0,0,14, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Hemendra Chandra Singh,Elected,18-May-14,In office,Odisha,Kandhamal,Biju Janata Dal,Male,Graduate,Information not available,46,0,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.1,0.3,12,93%
Hukamdeo Narayan Yadav,Elected,18-May-14,In office,Bihar,Madhubani,Bharatiya Janata Party,Male,Graduate,"Graduate, Amanat (Land surveying); Educated at Chandradhari Mithila College, Darbhanga, Bihar",74,8,0,17,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Hukum Singh,Elected,18-May-14,In office,Uttar Pradesh,Kairana,Bharatiya Janata Party,Male,Graduate,Information not available,75,2,0,25,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Idris Ali,Elected,18-May-14,In office,West Bengal,Basirhat,All India Trinamool Congress,Male,Graduate,Information not available,64,0,0,17,55, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Inderjit Singh Rao,Elected,18-May-14,In office,Haryana,Gurgaon,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons), LL.B., Educated at University of Delhi, Delhi",64,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Innocent,Elected,18-May-14,In office,Kerala,Chalakudy,Independent,Male,Under Matric,Information not available,66,2,0,5,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,9.2,0.1,38,88%
J. Jayavardhan,Elected,18-May-14,In office,Tamil Nadu,Chennai South,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,26,0,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
